Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
 χum kasaı̯ ani ȯu̯lèn tuu̯ ta ūntəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ūntəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 uꞩ ta lāwəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta ēli palt at pȯtərtalɒs - MMN,0,A,V,NoPtcl,pst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg
" MMN nɔŋχ kos l'ul'mətɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 āni ɔ̄w̯əln tuu̯ ta ı̯omlı̮ɣtɒs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ūntəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuwəl ta astəsət,X,A,V,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 tuu̯l TƆ lɔ̄χ pal siŋəs ı̯iwn tuu̯ ta untəs,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tuwl ɔχsɒr Ɔ kot'il' pāln, kȯt'il' PN pāln tuu̯ ta ūntəs",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 SƆ ɔ̄s āwi sunt pāln tuu̯ ta untəs,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 am pɔ̄χŭmn χotı̯ut ti ı̯oχtəs,0,A,AV,ti,pst,ind,quest,pfv,U,abst,npron,undef,nonsp,nuniq,nfam
" tuu̯əl ɔs tɔ̄rew ɔı̯ka wit norma ı̯oli paln, mań MN pɔ̄χèn tuu̯ ta ūntəs",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 tot rɔ̄u̯əlaχ tı̮ɣlaŋkwe ta pats,0,A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯l (rɔ̄wɒlaχtı̮ɣlaŋkwe) rɔ̄wɒlaχtı̮ɣlasəl,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 ta χuı̯eɣt,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
" tuu̯l TO χotal' ı̯als,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" pūte astŭm porat, pusən nɔ̄ŋχ ti kwālsət",0,A,AV,ti,pst,ind,none,pfv,H,pl,npron,act,sp,uniq,strg
" lȯu̯tχatsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" ꞩɔ̄pitaχtasət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 ta tēɣ,X,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
 TƆ JP nēl akw āni tēɣəl,1,A,APV,NoPtcl,npst,ind,none,npfv,H,du,barenp,act,sp,uniq,strg
 TƆ mȯꞩ nèl aku̯ ānin ūntsı̮ɣ,0,A,AV,NoPtcl,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg
 wōrn minuŋkwe ta ēntapaχtasət,0,A,PV,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" TƆ ēntapaχtɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 ta sulintas konal,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" TƆ ɔ̄s masχatɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" ēntχatɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta ı̯omantɒs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 kon kwalapɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta wotaı̯aχtɒs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" tan minasət,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
" JPN làwe,",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 mań ēse nupəl lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
" - naŋ wit norma ı̯oli paln unten,",0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap
" MN, āwi sunt pāln wȯs unti",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 - āt'i am at kosaꞩeɣŭm,0,A,AV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,sap
 MN lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tuu ta puli,",0,A,AV,ta,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,sap
 JPnènəl pili,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,sap
 wit norma ı̯oli paln ta untəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,sap
" JPN ēꞩe wit norma ı̯oli pàln tuu̯ ta ꞩōpitas,",X,A,APV,ta,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,sap
 ērtŭm TƆ nȯmte man P N kupəl pati,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,possnp,ref,sp,uniq,weak
 ań māχŭm wɔ̄rt ta ı̯alèɣt,0,A,AV,ta,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg
 tulmɒχ Ɔ sart ta ı̯oχtəs,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg
 ta ı̯ui pal ƆƆ ı̯oχəs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg
 ta ı̯ui palt sɔwr Ɔ ta ı̯oχtəs,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg
" SƆ ꞩaltəs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tūp ı̯ola untəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 kon ı̯ose to lȯχnete suiti,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam
 mā nas ꞩarɣi,0,A,AV,NoPtcl,npst,ind,none,npfv,I,mass,barenp,ref,sp,uniq,weak
 ı̯uu̯ ta ꞩaltəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ı̯uu̯ ꞩaltmèt χumiı̯ane muli pālt ūnleɣt,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,dpossnp,act,sp,uniq,strg
" tuu̯ ı̯uu̯ ꞩāltəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" nɔŋχ taɣatɒs,",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 māχmane pɔ̄χɒn ta ūntəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"JPN  ūnli,",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg
" sūnsi,",X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" tau̯ waɣte,",1,AP,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg
 MN xoti mat ūnli!,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
" MNnaməl ūnli,",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg
" pusən akw torı̮ɣ l'ul'mtasət,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,npron,act,sp,uniq,strg
" MN mot χum nupəl kos pēntɒste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" tuu, χumit, āt'i, at kāsaꞩeɣt",0,P,AV,NoPtcl,npst,ind,neg,npfv,H,pl,pron,act,sp,uniq,strg
 an ta ꞩiranəltəl ta ɔ̄lmı̮ɣta sı̮t,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
" pūte astapɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,top,sp,uniq,strg
 ań tau̯ nȯmsi,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg
 sar SƆ wēk mot mān ūnti,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tēŋkwe patsət,",X,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
" tau̯ wāɣte,",1,AP,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg
 NPN χotal' ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 tuu̯ ta ūntəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 MN palt ɔ̄s TƆ mot man ꞩar at pēı̮ɣri,0,A,AV,NoPtcl,npst,ind,neg,npfv,H,sg,barenp,top,sp,uniq,strg
 MN palt tuw̯ ta ūntəs,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 akw ta ꞩirəl ta ɔ̄leɣt,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
 TƆ āwi sunta pāln untəs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" χuı̯uŋkwe patsət,",0,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 MN palt ta χuı̯i,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 mot mān ꞩar at pēiɣri,0,A,V,NoPtcl,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg
 SƆ ɔ̄s akw ta MPN palt ta ɔ̄li,0,A,AV,ta,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 ɔ̄s at pēı̮ɣri,0,A,V,NoPtcl,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg
 tɔχ ɔ̄lsət,0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
" pı̮ɣriꞩət ı̯anı̮ɣ masət,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,top,sp,uniq,strg
 χaı̯tı̮ɣtaŋkwe patsət,0,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" χaı̯tı̮ɣtaŋkwe patsət,",0,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 tuwl TƆ lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg
" - a, χɔ̄sa ti ɔ̄lsuu̯",0,A,V,ti,pst,ind,none,pfv,1,pl,zero,act,sp,uniq,strg
 am ı̯anɒs ti mineɣŭm,0,A,AV,ti,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
" nan taχ, χūrŭm χum, akw kolt ta ɔ̄liı̯èn",0,A,AV,ta,npst,ind,none,npfv,2,pl,pron,act,sp,uniq,sap
 am taχ ı̯anɒs mineɣŭm amki kȯlumn,0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
 ta tuu̯l MN lāwi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 - manurəl ɔ̄li mèn?,0,A,V,NoPtcl,npst,ind,quest,npfv,1,du,zero,act,sp,uniq,sap
 ań TƆ lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 MN at kos tāŋχəs,0,A,AV,NoPtcl,pst,ind,neg,npfv,H,sg,barenp,act,sp,uniq,strg
 kon akw ı̯ot ta kwalsı̮ɣ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
" TƆ ɔ̄ı̯ka χotal' ı̯omanti,",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 MN tau̯ ı̯ui palèt mini,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
" mȯꞩ ēlanuu̯ patsı̮ɣ,",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 akw ı̯ot ı̯uw ta ꞩaltsı̮ɣ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
" kȯl kiwərt tɔ̄wəl ɔ̄li,",0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam
 saχi ɔ̄s ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam
 kȯl kant ta χuı̯tı̮ɣti,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" χumite kȯn kw̯als,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
" somı̯aχèn ı̯als,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" āstəs,",0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 ta tēɣı̮ɣ,0,A,V,ta,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg
 tēŋki kol ı̯orəl ta ɔ̄lmaı̯ası̮ɣ,0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
 TƆ nētè nupəl lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - am ı̯alnem sis kon ul kwalen,",0,A,V,NoPtcl,npst,imp,neg,pfv,2,sg,zero,act,sp,uniq,sap
  el-ul minen,0,A,V,NoPtcl,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap
 am ı̯alnem sis ı̯un ɔ̄len!,0,A,V,NoPtcl,npst,imp,none,npfv,2,sg,zero,top,sp,uniq,sap
 ań mot kȯlt ɔ̄lŭm χumit wɔ̭̄rn mi nasət,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,fam,sp,uniq,strg
 tuu̯l JPN lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg
 ēꞩaɣe lāweı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,du,possnp,act,sp,uniq,strg
" pūte paı̯təs,",1,A,PV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
 takwi kon kwalapam,0,A,AV,NoPtcl,pst,evid,none,pfv,H,sg,pron,act,sp,uniq,strg
 ertɒm ta χuı̯i,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
" tuul lul'mı̮ɣtɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" pūte palt ı̯omlı̮ɣtɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 paɣ ta ālmaı̯ɒs,X,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - ı̯a, ta, - lāwi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ɔ̄s wos tēɣ!,X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 ta minas MN palt,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ı̯oχtəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - MN, - lāwi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ɔ̄leɣən?,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap
 - ɔleɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap
" - MNēkwè, kon kwalen!",0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap
 am ɔs tēŋkwe taŋχèɣŭm,0,A,APV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap
 kon minuŋkwe at tasti,0,A,PV,NoPtcl,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg
" kon kwali,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 takwite χotɒl' tēɣ!,X,A,AV,NoPtcl,npst,ind,quest,npfv,H,sg,pron,top,sp,uniq,strg
 JPN ı̯uu̯ ta minas,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 esaɣen nupəl lawi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 - tesɒn?,0,A,V,NoPtcl,pst,ind,quest,pfv,2,du,zero,act,sp,uniq,sap
 at'i at tēsmen,0,A,V,NoPtcl,pst,ind,neg,pfv,1,du,zero,act,sp,uniq,sap
" tèŋkwe untəlmatsət,",0,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 akw torı̮ɣ ta tēɣt,X,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
 tup tātal pūte arı̮ɣtɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,ref,sp,nuniq,nfam
" tuwəl MPN witn ı̯als,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" ı̯oχtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" ań χumit ı̯oχteɣt,",0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,fam,sp,uniq,strg
 pūt warne pora ı̯ēmti,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,barenp,ref,sp,nuniq,nfam
 ı̯il'pi wit ta āstəs,0,A,AV,ta,pst,ind,none,pfv,I,mass,barenp,ref,sp,nuniq,nfam
 ań χumit ta ı̯ɔ̄χtəsət,0,A,AV,ta,pst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg
 ı̯uu̯ ꞩaltsət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" pı̮ɣriꞩiɣ kitı̮ɣ χaı̯tı̮ɣteı̮ɣ, ",0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,fam,sp,uniq,strg
" - ań mūnt, ālpəl, aɣməl ı̯ēmtəs",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" ań wos χaı̯tı̮ɣti, ı̯urtaɣe ı̯ot",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 an pı̮ɣriꞩe ı̯ol raɣɣatɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
 ı̯ol patmèt nas χoplatalɒs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 - saı̯te ta χolas!,0,A,AV,ta,pst,ind,none,pfv,I,abst,possnp,act,sp,uniq,strg
 ań munt saka āɣməŋ ɔ̄ls,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" ań taɣatɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta sorum ta pats,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 lāwi:,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - sorum pats,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" āstəs,",0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 ta tēp=ı̯aleɣt,X,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
" mań PN pı̮ɣriꞩe, KPN pı̮ɣriꞩe ꞩańanen=āꞩanen ı̯ot ta tēɣı̮ɣ",X,A,AV,ta,npst,ind,none,npfv,H,du,possnp,act,sp,uniq,strg
" tēmanəl āstəsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 ta χuı̯asət,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 χolitan nɔ̄nχ kwalsət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" sɔ̄ur Ɔ sȯmı̯aχən ı̯als,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tuu̯l, ul'ate ı̯ola pats",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
" pūte āstəs,",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
 ta tēsət,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
" tēmanəl astəsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" χumit wɔ̄rn minŭŋkwe ta masχatsət,",0,A,APV,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 pusən aku̯ ı̯ot kon ta kwalsət,0,A,AV,ta,pst,ind,none,pfv,H,pl,npron,top,sp,uniq,strg
" wotaı̯aχtasət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 χūrŭm mān tȯı̯uu̯lasət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" tan minasət,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,pron,top,sp,uniq,strg
 JPN kot'l' ēse nupəl lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" - aꞩe ı̯oχti,",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 - man taχ lāwew̯:,0,A,AV,NoPtcl,npst,ind,none,pfv,1,pl,pron,act,sp,uniq,sap
 aɣməŋ ɔ̄ls,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 āꞩe nēm χotŭm at lāws,0,A,APV,NoPtcl,pst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg
" pūte paı̯taχti,",0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,zero,act,sp,uniq,strg
" takwi kon kwalɒs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
" ta sāɣri,",0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 ta sāɣri,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" sāɣramatenəl āstəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ı̯uu̯ ti ꞩaltəs,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tuu̯ ta χūni,X,A,V,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - ı̯a ta, lāwi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 JPN lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 - naŋ l'apan tuu̯ ul minen,0,A,AV,NoPtcl,npst,imp,neg,pfv,2,sg,pron,act,sp,uniq,sap
 taχ kon wek neı̮ɣli,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 neı̮ɣli=ke,0,A,V,NoPtcl,npst,irr,none,pfv,H,sg,zero,top,sp,uniq,strg
" am ı̯oχtı̮ɣpeɣŭm,",0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap
 ań KPN MN palt ta minas,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 tuu̯ minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 MN nupəl lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - MN, ɔ̄leɣən?",0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap
 - ɔ̄leɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap
 - kon kwallen!,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap
 lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" - tı̮ɣ ı̯aı̯en,",0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap
" -āt'i, am kon at kwaleɣŭm",0,A,AV,NoPtcl,npst,ind,neg,pfv,1,sg,pron,act,sp,uniq,sap
" ań āni minēte mus, ań PN MN kātèn kos lakwəs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" tuw̯əl KPN ı̯uw minas,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" kȯlèn ı̯uu̯ ꞩaltəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 - manurəl kātn pats,0,A,V,NoPtcl,pst,ind,quest,pfv,H,sg,zero,act,sp,uniq,strg
" -āt'i, kon at kwali",0,A,V,NoPtcl,npst,ind,neg,pfv,H,sg,zero,act,sp,uniq,strg
" kȯs puwəsluŭ,",1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 at maı̯χati,0,A,V,NoPtcl,npst,ind,neg,pfv,H,sg,zero,act,sp,uniq,strg
 saka urχati,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" -ı̯a, touli, JPN, tēɣuwɔ",X,A,V,NoPtcl,npst,ind,none,npfv,1,pl,zero,act,sp,uniq,sap
 tuu̯l tātɒl pūte armı̮ɣtɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
 kitwētral witn ı̯als,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta ɔ̄leɣt,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
" χūntleɣt,",0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
 χumit ı̯oχtmanəl suiti,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam
