Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
 tau̯ lāwi - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
"ȯtnako, jäɣaɣi naŋ ul ɔ̄leɣən",0,A,AV,NoPtcl,npst,ind,none,npfv,2,sg,pron,act,sp,uniq,strg
" Manurəl WƆƆ ńawramt lāweɣt, ",0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg
am χɔ̭̇nt lasum,0,A,AV,NoPtcl,pst,ind,none,pfv,1,sg,pron,act,sp,uniq,strg
" tau ūntəlmatɒs, nēte, ",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
sȯp=ńelmtal ūntəlmatɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 mȯꞩ χum tumajti: - L'ul',0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
" Tajaχ taχ nē lāwi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,typid,nonsp,nuniq,nfam
"χum lāwi,  ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,typid,nonsp,nuniq,nfam
mȯꞩ χum jaɣāɣi tēntəl ɔ̄leı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,fam,sp,uniq,strg
" nɔŋχal' l'ul'es, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 untəs kwtχatunkwe,0,A,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
āstəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" nɔ̄ŋχal' l'ul'is,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" manekēm jɔ̄re jɔχtəs, ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,typid,nonsp,nuniq,nfam
