Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
 tan minasət,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,pron,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ti χɔ̄tɒlɒs,0,A,V,ti,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 JPN lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" -sar am, lāwi MN palt ı̯alèɣŭm",0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 pı̮ɣriꞩe wos alite,1,AP,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ta kwalapas,",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - MN ɔ̄leɣən?,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - ɔ̄leɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -naŋ pı̮ɣriꞩən ti χɔ̄tɒl alapeln,1,AP,APV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,H,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - naŋ ı̯uu̯ minen,0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 pūt sis ı̯un ɔ̄len,0,A,V,NoPtcl,npst,imp,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tuwl ı̯oχten,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - naŋ naŋki toten man paltuw,X,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - ati, am at mineɣum nan paltɒn",0,A,AV,NoPtcl,npst,ind,neg,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 naŋ ta naŋ ı̯oχten,0,A,AV,ta,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - man manki ı̯oχtew,",0,A,AV,NoPtcl,npst,ind,none,pfv,1,pl,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 JPN lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" an put sis kèm ɔ̄lsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań JPN tuu ta taχas,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - MN ɔ̄leɣən,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -ɔ̄leɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -pūtən āstəs?,0,A,AV,NoPtcl,pst,ind,quest,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - āstəs,",0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań mū̬nt āstəs,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań mū̬nt tāɣəl urχateɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -tı̮ɣ maı̯en,X,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - naŋ l'apan ı̯aı̯en,0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 āni wȯı̯eln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 āwi mań χall āni tūp lāpi,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 mań χall wārəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -wȯı̯eln ani,1,AP,VP,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -ı̯anɣı̮ɣ punsəln!,1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - āt'i, am at punsilum",1,AP,AV,NoPtcl,npst,ind,neg,pfv,1,sg,pron,act,sp,uniq,sap,I,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - at nè punsilən,1,AP,V,NoPtcl,npst,irr,neg,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ani tı̮ɣ maı̯eln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ākw takwi PN maı̯lŭm ānite akw taite ı̯uu̯ maı̯wes,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,npron,fam,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ta almaı̯aste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ńɔ̄wəl' lōmt ta tɔ̄u̯məs,1,A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" -e, sɔ̄l', χɔ̄sat astum",0,A,V,NoPtcl,pst,evid,none,pfv,I,mass,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ta pɔ̄l'am!,0,A,V,ta,pst,evid,none,pfv,I,mass,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - minen,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ēꞩaɣən lāwen,",0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 wos ı̯uwı̮ɣ,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tēntèn ɔ̄s astəsaɣŭm,1,AP,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,H,du,pron,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ta ı̯uu̯ ı̯oχtəs,",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 an KPN tuu̯ ta kwalapɒs,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 MN palt ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - MN ɔleɣən?,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - ɔleɣum,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - āwi torɣen ı̯anɣı̮ɣ punseln!,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - āt'i at punsilum!,1,AP,V,NoPtcl,npst,ind,neg,pfv,1,sg,zero,act,sp,uniq,sap,I,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tan ɔ̄s man χalkwenəl tuwəl ta wiste,1,AP,AV,ta,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ı̯uu̯ ta taχas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 mań ēse nupəl lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" -nāŋ ɔs ta astuwesən,",X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,2,sg,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ı̯alen,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" an MPN ta tāχɒs, MN palt",0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tuu̯ ı̯oχtəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 Lawi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 - MN ɔ̄leɣən?,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -ɔleɣŭm,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -pı̮ɣriꞩən alaslən,1,AP,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,H,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -alaslum,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,H,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ām astəs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ńɔ̄wl'əl χūnəslum,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,sg,zero,ref,sp,nuniq,nfam,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 nɔ̄wəl' ani sup wȯı̯eln!,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tuwəl āwi ı̯anɣı̮ɣ at punsite,1,AP,PV,NoPtcl,pst,ind,neg,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 āni sup mań χalkwenəl ta wiste,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań takwi molal maı̯lum ānite ı̯uu̯ ta maı̯wes,X,P,PV,ta,pst,ind,none,pfv,,,,,,,,I,sg,possnp,fam,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tuu̯ nomsi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 nas āti takwi mȯlɒl maı̯lum ānitetəl rētatalawe,X,P,V,NoPtcl,npst,ind,none,pfv,,,,,,,,H,sg,pron,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ānite wis,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ı̯uu̯ ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" kitɣaɣe nupəl ı̯oχtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 lāwi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 -tēsen?,0,A,V,NoPtcl,pst,ind,quest,pfv,2,du,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - āti, at tēsmen,",X,A,V,NoPtcl,pst,ind,neg,pfv,1,du,zero,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 naŋ ūrimēn,1,A,PV,NoPtcl,npst,ind,none,npfv,1,du,zero,top,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 mań PN ı̯oχtəs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 uꞩ ta tēsət,X,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań āni supkenəl ńɔ̄wəl' ı̯uu̯ ta taı̯apasanəl,1,AP,PV,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,act,sp,uniq,sap,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ètimɒs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań χumit ɔs ta ı̯oχtesət,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,fam,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" MN χumite ı̯oχtəs,",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ı̯uu̯ ꞩaltəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ı̯oln untəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 Moꞩ Ne lawi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - ti χɔ̄tal pı̯ɣriꞩum aluŋkwe ti marlalwesum, por nētn!",0,INF-P,PVA,ti,pst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,1,sg,zero,top,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 χumite lāwi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" - am molal taɣel lāweɣŭm,",0,A,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" naŋki kon ul kwalen,",0,A,AV,NoPtcl,npst,imp,neg,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 pı̮ɣriꞩən kon ul tarateln!,1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,possnp,act,sp,uniq,strg,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ań alapanuwe,",X,P,V,NoPtcl,pst,irr,none,pfv,,,,,,,,H,sg,barenp,top,sp,uniq,sap,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 akw lomt at χɔ̄ntnuwən,1,A,PV,NoPtcl,pst,irr,neg,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,barenp,typid,nonsp,nuniq,nfam,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 ań am wɔ̄rt ı̯alnèm sis ul'ı̯iw mēnki kolmēn pal nupəl ı̯alasen,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 tan tuu̯ at ı̯uwət,0,A,AV,NoPtcl,npst,ind,neg,npfv,H,pl,pron,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ta ꞩirəl lawsası̮ɣ,",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
" ań ta ɔ̄leı̮ɣ,",0,A,V,ta,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 an ta ꞩuńeı̮ɣ,0,A,V,ta,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_UpperLozva_Chernetsov_51_XPN_final.xlsx - Sheet1.csv
 Ekvaьɧ ojkaьɧ oleьɧ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" hosa olsьɧ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" vati olsьɧ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 akv mat ert matmen pьrꞩumen ovьlt akv mat ert akv pьɧriꞩ on̩ꞩsьɧ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 erьɧ hum mojt hum mana hosa janьɧmi ,0,A,AV,NoPtcl,npst,ind,quest,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Hajtьɧtan janiɧьɧ jemtas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Aꞩe nupьl lavi: ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" aꞩ, arɧen oln muvьr supьn anum majeln",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,ref,sp,uniq,nfam,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 aꞩe lavi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Lun̩ꞩim vovuŋkve pataste,1,INF-AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 aꞩen ta majves,1,P,AV,ta,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" nalval̩ puvartite, ",1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" paɧle puvartite,",1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 jonjim ta on̩ꞩite,1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Toh puvartalimete nalval̩ puvarame mus akvaьɧ kona ta puvaras,0,A,V,ta,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Tup minam l̩oŋɧe huji,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Muvьr sup akvaьɧ ta minas,0,A,AV,ta,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" Muvьr supe juji palt moꞩ tuvnuv hajtalas, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" juv permtahtas,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 lavi,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
" naŋ sar minen,",0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Juv ta minas,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
 Juv johtьs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_42_AOMS_final.xlsx - Sheet1.csv
