,No,Trans,Form,W-ord,Tns,Mood,SenT,Pfv,Ptcl,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
ul'ı̯iu̯ sāɣruŋkwe ēri.,152,0,INF-A,AV,npst,ind,,npfv,,,,,,,,,I,sg,barenp,typid,sp,nuniq,nfam
kan ta wāreɣt.,153,1,A,PV,npst,ind,,npfv,ta,H,pl,zero,act,sp,max,strg,I,sg,barenp,ref,sp,uniq,strg
"kan wārsət,",154,1,A,PV,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,I,sg,barenp,top,sp,uniq,strg
ul'ı̯iu̯ sāɣresət.,155,1,A,PV,pst,ind,,pfv,,,,,,,,,I,sg,barenp,ref,sp,nuniq,strg
wārim utət nɔŋχ taɣtalawesət.,156,X,P,PV,pst,ind,,pfv,,,,,,,,,I,pl,barenp,ref,nonsp,nuniq,nfam
"an mis χum, ɔs χumı̮ɣ kon ta {kanna} wowwesət.",157,X,P,PxV,pst,ind,,pfv,,,,,,,,,H,pl,barenp,fam,sp,max,strg
"tuu̯ minasət, ",158,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
"elanuu̯ ı̯ol tuu̯ ta ūntsət, ",159,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
tot ta ūnleɣt.,160,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
ta sunseɣt: ,161,X,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
sar manər wāreɣt.,162,1,A,PV,npst,ind,,npfv,,H,pl,zero,act,sp,max,strg,,,,,,,
akw ērt sālitti pɔ̄swesət.,163,X,P,PV,pst,ind,,pfv,ti,,,,,,,,A,pl,barenp,ref,sp,nuniq,nfam
ı̯ir sāli puw̯uŋk-|we ta patsət.,164,0,A,PV,pst,ind,,pfv,ta,,,,,,,,A,pl,barenp,ref,sp,uniq,w_prcp
"ı̯ir sāli, sāt sāli pūwwes.",165,X,P,PV,pst,ind,,pfv,,,,,,,,,A,pl,barenp,ref,sp,uniq,w_prcp
neı̮ɣwesət.,166,X,P,V,pst,ind,,pfv,,,,,,,,,A,pl,zero,top,sp,uniq,strg
kan ōwəln tuw̯ ta neı̮ɣwesət.,167,X,P,V,pst,ind,,pfv,ta,,,,,,,,A,pl,zero,top,sp,uniq,strg
"ı̯a ta, ı̯anı̮ɣ mań pı̮-|ɣanəl saŋku̯ltaŋkwe ta pats.",168,0,INF-A,APV,pst,ind,,pfv,ta,H,sg,possnp,ref,sp,uniq,w_set,,,,,,,
ta sāŋkwəlti.,169,X,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"mir susne χum tān ta sāŋkwəlti, ",170,1,A,PV,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,nfam
ta wow{w}awe.,171,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,sg,zero,uniq,sp,uniq,w_glob
"ta tāne ɔ̄ı̯iɣpɒs,",172,0,A,AV,pst,ind,,pfv,,I,sg,possnp,act,sp,uniq,strg,,,,,,,
" ı̯ol poı̯ltaste,",173,1,AP,V,pst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
ań pupı̮ɣ ta ı̯inete suiti.,174,0,A,AV,npst,ind,,npfv,ta,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,
"loŋańꞩap, ꞩil suiteɣt. ",175,0,A,AV,npst,ind,,npfv,,I,pl,barenp,typid,sp,nuniq,w_prcp,,,,,,,
akw ert ti neı̮ɣlapɒs.,176,0,A,V,pst,ind,,pfv,ti,H,sg,zero,act,sp,uniq,strg,,,,,,,
"ı̯oχtəs, ",177,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
kan muwɒl ta ı̯ɔ̄ŋχi.,178,0,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
sāt ꞩos ı̯ɔ̄ŋχɒs.,179,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"sāt ꞩos ı̯ɔŋχɒs,",180,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"tuwəl ńila oln āni unttuwes,",181,X,P,PV,pst,ind,,pfv,,,,,,,,,I,pl,barenp,ref,sp,uniq,w_prcp
ńila luw̯ lāɣəl = kāt mus.,182,,,,,,,,,,,,,,,,,,,,,,
ań luu̯ tuu̯ ta l'ul's.,183,0,A,AxV,pst,ind,,pfv,ta,A,sg,barenp,ref,sp,uniq,w_brdg,,,,,,,
tuu̯ ta rottumlawəs.,184,0,P,V,pst,ind,,pfv,ta,,,,,,,,A,sg,zero,top,sp,uniq,strg
"ań luu̯ sisn ńɔχs sow̯, ",185,,,,,,,,,,,,,,,,,,,,,,
"ɔχsar sou̯ tuu̯ ta χɔsɣawet, ",186,X,P,PxV,npst,ind,,npfv,ta,,,,,,,,A,pl,barenp,ref,sp,nuniq,w_prcp
tuu̯ ta tāɣatawēt.,187,X,P,V,npst,ind,,npfv,ta,,,,,,,,A,pl,zero,top,sp,nuniq,strg
M.SX tau̯ ta tāɣəltawe. ,188,X,P,PV,npst,ind,,npfv,ta,,,,,,,,H,sg,barenp,act,sp,uniq,strg
"ań taı̯ maɣəs ta sawit miwe, ",189,X,P,PV,npst,ind,,pfv,,,,,,,,,I,mass,demnp,ref,sp,nuniq,w_prcp
