,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" nɔ̄χ l'ul'mətɒs, lāɣəlaɣétəl",146,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 takwi kāta ɣetəl takwi pal'aɣenəl pūwəste,147,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
 kuꞩe χot ti ānχwəste,148,1,AP,PV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
" muli pālna, χumı̯aɣe pɔ̄χɒn ta ūntəs",149,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ńarane=waı̯ane āŋχw sane,150,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,w_brdg
"takēm ta tuı̯təŋət, ı̯āŋkəŋət",151,,,,ta,,,none,,,,,,,,,,,,,,,
  χȯt ı̯osimət,152,0,A,V,NoPtcl,pst,evid,none,pfv,I,pl,zero,act,sp,uniq,strg,,,,,,,
 ı̯ānəl pol'amət,153,0,A,V,NoPtcl,pst,evid,none,pfv,I,pl,zero,top,sp,uniq,strg,,,,,,,
 tuı̯təl pol'amət,154,0,A,V,NoPtcl,pst,evid,none,pfv,I,pl,zero,top,sp,uniq,strg,,,,,,,
 āŋχwsane,155,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
 tuu̯ ta kȯlkann ꞩeltŭmtasane,156,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
 āwi suntnəl MPN l'ulmətɒs,157,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
 ńarane=waı̯ almaı̯asane,158,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
" āraꞩ wātan minas,",159,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" ta parɣalti,",160,X,A,V,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ta rāti,161,X,A,V,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ākwaı̮ɣ kȯlkan witəl tɔ̄ltəste,162,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,w_prcp
 ta kēməl ta ı̯aŋkəŋət=tuı̯təŋət,163,,,,ta,,,none,,,,,,,,,,,,,,,
 NW nɔ̄χ ta taɣatasane,164,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
 tuuəl kȯlkan wite χot sēɣəste,165,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,act,sp,uniq,strg
 tuuəl āwi sunt pālèn ta minas,166,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ta ūntəs,167,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ɔ̄s suital ta ɔ̄leɣt,168,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
 at pȯtərteɣt,169,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
 toχ ūnli mēnəl konn χɔtpa,170,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 ı̯osa parɣaltaŋkwe patwès,171,0,INF-P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,du,barenp,ref,sp,nuniq,nfam
" χasne χum wārŭm ı̯osaɣe maɣəs at sakwalası̮ɣ,",172,0,A,AxV,NoPtcl,pst,ind,neg,npfv,I,du,possnp,act,sp,uniq,strg,,,,,,,
 ta kēm ta lɔ̄χ͔aꞩliı̯aɣe,173,1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,du,zero,top,sp,uniq,strg
