,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" akve haniꞩteɧьn ke, ",213,X,A,V,NoPtcl,fut,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" hanisten, ",214,X,A,V,NoPtcl,fut,imp,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" at ke haniꞩteɧьn,",215,X,A,V,NoPtcl,fut,irr,neg,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" at ul haniꞩten, ",216,X,A,V,NoPtcl,fut,imp,neg,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" am hosa roꞩne varmal̩ ati,",217,,,,NoPtcl,,,neg,,,,,,,,,,,,,,,
 mol̩amleɧum,218,0,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 totnuv olne akvьn ekvan haniꞩtaven,219,1,P,AV,NoPtcl,fut,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,2,sg,zero,act,sp,uniq,sap
 Ta mini,220,0,A,V,ta,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Hosa minas,221,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" vati minas, ",222,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 elal̩ sunsi,223,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" naŋk aŋkvalьɧ, hont aŋkvalьɧ naŋkeьɧ",224,0,A,AV,NoPtcl,npst,ind,none,npfv,I,du,barenp,ref,sp,nuniq,nfam,,,,,,,
 Ta kem vaɧtal patьs,225,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" akv ti savit elal̩ jomi, ",226,0,A,PV,NoPtcl,fut,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
