,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
ɔ̄ńꞩuŋkwe aman at rɔ̄wi? ,74,0,INF-A,AxV,NoPtcl,npst,ind,quest/neg,npfv,,,,,,,,,,,,,,,
"tuwəl ta ꞩirəl sāt kȯln tulı̮ɣla wes, ",75,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,top,sp,uniq,strg,
sat χum sȯrumpats ,76,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,ref,sp,uniq,nfam,,,,,,,,
"(ta ı̯ui palt ɔs ńila kȯln mus tūlı̮ɣlawès,",77,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
 ńila χum ɔ̄s sȯrunpats) ,78,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,ref,sp,uniq,nfam,,,,,,,,
tuwəl ta laweɣt - ,79,0,A,V,ta,npst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
sāt kol mus sāt ēlmχolɒs sorum pats,80,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,ref,sp,uniq,strg,,,,,,,,
" tuwəl ı̯ɔ̄rn pēnɣəl, lāwi - ",81,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,uniq,sp,uniq,nfam,,,,,,,,
"ı̯un, kȯl kiwərn tūluŋkwe ꞩar at rɔ̄wi!",82,0,INF-A,AxV,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,,
 sātit kȯl sist mań χāl’ ɔ̄li,83,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,typid,sp,uniq,nfam,,,,,,,,
" ta mań χāl'n, tuu̯ nēɣèln,",84,1,AP,V,NoPtcl,fut,imp,none,pfv,2,pl,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg,
tot wos ɔ̄li,85,0,A,V,NoPtcl,fut,opt,none,npfv,I,sg,zero,act,sp,uniq,strg,,,,,,,,
 tuwəl pīnɣən ı̯ɔ̄rn lāwi - ,86,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"mir pusən wos atχateɣt,",87,0,A,AxV,NoPtcl,fut,opt,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
" ı̯ȯmɒꞩakwe pēuɣuŋkwe ēri,",88,0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,
 χɔ̄tı̯utna ɔ̄ń ꞩawe,89,1,P,AV,NoPtcl,fut,ind,none,npfv,U,abst,indefp,undef,nonsp,nuniq,nfam,I,sg,zero,act,sp,uniq,strg,
 tāraŋı̮ɣ pati,90,0,A,V,NoPtcl,fut,ind,none,pfv,,,,,,,,,,,,,,,
 χɔ̄tı̯utna ɔ̄ńꞩuŋkwe rɔ̄wi,91,0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,
" tuwəl mir atχatsət, ",92,0,A,AV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
ńaı̯t tuwəl pērı̯aŋkwe patsət,93,0,INF-A,AxPV,NoPtcl,pst,ind,none,pfv,H,pl,barenp,ref,sp,uniq,nfam,,,,,,,,
 saka sāu̯ kȯı̯up rātne ı̯ɔ̄rn ɔ̄ls,94,0,A,AV,NoPtcl,pst,ind,none,npfv,H,pl,barenp,ref,sp,uniq,nfam,,,,,,,,
" χalanəlt ta kos pērı̯awe,",95,X,P,V,ta+,fut,ind,none,pfv,,,,,,,,H,sg,zero,undef,sp,nuniq,nfam,
" tai maɣəs ꞩar koı̯up at rāteɣt, ",96,1,A,PV,NoPtcl,npst,ind,neg,npfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
"at kasaꞩeɣt,",97,0,A,V,NoPtcl,npst,ind,neg,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
   saka kos kȯı̯upəŋ ńāı̯t,98,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" tuwəl ɔ̄s waɣanəl, ",99,1,AP,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
āɣi ɔ̄li,100,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,sp,uniq,nfam,,,,,,,,
 ta āɣi ꞩar paı̯um ńāı̯t  kȯı̯upəŋ ńāı̯t,101,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 tuwəl mir lāweɣt - ,102,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
naŋ ti kȯı̯up rāten - ,103,1,A,APV,NoPtcl,fut,imp,none,npfv,2,sg,pron,ref,sp,uniq,sap,I,sg,demnp,ref,sp,uniq,nfam,
"rɔ̄wi tuwəl anŭm,",104,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,
 rāteɣŭm,105,X,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
 anum rɔ̄wi,106,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,
 akw ı̯ɔ̄rn sunènəl kȯı̯up ti tūls,107,1,A,AxPV,ti,pst,ind,none,pfv,H,sg,barenp,ref,sp,nuniq,nfam,I,sg,barenp,act,sp,uniq,strg,
 ul'aŋ kȯln ti tūls,108,X,A,V,ti,pst,ind,none,pfv,H,sg,zero,ref,sp,nuniq,nfam,,,,,,,,
" ul'a nɔŋχ palt wès,",109,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,If,sg,barenp,typid,sp,uniq,nfam,
 kȯı̯up ta isəltawès,110,X,P,PV,ta,pst,ind,none,pfv,,,,,,,,I,sg,barenp,act,sp,uniq,strg,
" kȯı̯up isəlɒs, ",111,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg,,,,,,,,
lāweɣt: - ,112,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
