,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
" - sar, mēnki n ūnlən māmēn jɔχtimēn. ",78,0,A,V,NoPtcl,fut,hort,none,pfv,1,du,zero,act,sp,uniq,sap,,,,,,,,
" wornake minimēn,",79,0,A,V,NoPtcl,fut,irr,none,pfv,1,du,zero,top,sp,uniq,sap,,,,,,,,
 wor uj ɔs χun’ sɔ̄tli.,80,0,A,AxV,NoPtcl,fut,ind,quest,npfv,A,mass,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
 ta mineı̮ɣ. ,81,0,A,V,ta,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 āꞩēn pɔra kȯtl̥’t ūnli,82,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,
 sēml̥ witu̯p tēpəŋ taɣtēn pateı̮ɣ. ,83,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 sēml̥ witu̮p χulɒŋ taɣtēn pateı̮ɣ. ,84,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 tarı̮ɣ lāɣəl tȯwıli,85,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
 kit jā tȯwıpn jɔχtsı̮ɣ. ,86,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 āꞩēn lāwi,87,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 - Toru̮m āɣi ākwən pū̬rlelēn,88,1,AP,V,NoPtcl,fut,imp,none,npfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 pı̮ɣaɣe lāweı̮ɣ,89,0,A,AV,NoPtcl,npst,ind,none,pfv,H,du,possnp,act,sp,uniq,strg,,,,,,,,
" - naŋ pū̬rlən matər ke ɔn’ꞩeɣən,",90,1,A,APV,NoPtcl,npst,irr,none,npfv,2,sg,pron,act,sp,uniq,sap,U,abst,indefp,undef,nonsp,nuniq,nfam,
