,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 jȯl raɣatɒs,191,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tɔ̄rum lap mėnas,",192,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,uniq,sp,uniq,w_glob,,,,,,,,
 mā lāp mėnas,193,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,uniq,sp,uniq,w_glob,,,,,,,,
 χȯsa χujas,194,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" man wat'i χujas,",195,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 nɔχ ti sajkalas,196,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" akw mat ērt pal'aɣetəl sı̮iti,",197,0,A,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,ref,sp,nuniq,nfam,,,,,,,,
 wit t’ɔlɣanēte sı̮ı̯ti,198,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam,,,,,,,,
 ta wit t'ɔlɣanete kann ta waŋki tuw,199,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" tuw jȯχtəs,",200,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 nas at'i wit ɔ̄wnēte,201,0,A,AV,NoPtcl,npst,evid,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,,
 wit pałt jȯχtəs pəl,202,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ti lȯu̯tχatəŋkwe pāts,203,0,INF-A,PV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 lȯu̯tχatəs,204,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 kātaɣe pus̄ı̮ɣ ta jēmtsı̮ɣ,205,0,A,AxV,ta,pst,ind,none,pfv,I,du,possnp,fam,sp,uniq,strg,,,,,,,,
" tuwl samaɣe lȯu̯təŋke pats,",206,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 tuwl saməŋı̮ɣ jēmtəs,207,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,fam,sp,uniq,strg,,,,,,,,
" nɔχ=ł'uł'mats,",208,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"χȯtal' ɔ̄lne najiŋ mā, ɔ̄trəŋ mā akaı̮ɣ kēli,",209,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,mass,barenp,ref,sp,uniq,nfam,,,,,,,,
  saməŋı̮ɣ jēmtəs,210,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ta jȯmmı̮ɣtɒs,211,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 χȯsa tɔ̄rm ꞩȯsaı̮ɣ jȯmı̮ɣti,212,1,A,PxV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam,
 mat'i jȯmı̮ɣti,213,1,A,PxV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam,
 tūrn nēı̮ɣlɒs,214,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ań tūre minas pɔl,",215,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,act,sp,uniq,strg,
 āsən nēı̮ɣlɒs,216,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 wȯjkan witup tēpəŋ ās wö χȱ̭ləŋ āsn ta jȯχtəs,217,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ās pɔχ χȯsit ta jȯmmı̮ɣtas,",218,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tuwl ȱ̭sən joχtəs,219,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ɔule jȯχtal naj ȱ̭s, ɔule jȯχtal ɔ̄tər ȱ̭s",220,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" ȱ̭s ke pəl ȱ̭s, pāɣəl ke pəl pāɣəl",221,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 wit wɔŋχa rau̯tum jaŋkānan untəs,222,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" pujil ak mat ērt tu͕šiŋ ru͕ꞩ ɔ̄jka nalwa ti jȯχtəs, mȯt wit wɔ̄ŋχan",223,0,A,AV,ti,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
 luwe ajti,224,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,sg,possnp,ref,sp,uniq,w_brdg,
" luwe aitas,",225,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg,
 tuwl pā ti mėnɒs,226,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tuwl ru͕ꞩ ɔ̄jka minam jui palt šɔ̄wr łāpati ak ēkate nalwa nēı̮ɣlaps,227,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,ref,sp,uniq,nfam,,,,,,,,
 tuwl mań mȯꞩ nē pałt ta jȯχtı̮ɣpɒs,228,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ań šɔ̄wr łāpati ak ekate lawi:,229,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,dpossnp,top,sp,uniq,strg,,,,,,,,
" - āpı̮ɣke, pā-jäen",230,0,A,V,NoPtcl,fut,imp,none,,2,sg,zero,act,sp,uniq,sap,,,,,,,,
 pa ti menası̮ɣ,231,0,A,V,ti,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 pā mėnası̮ɣ,232,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 ȱ̭s pui paln jȯχtɒsı̮ɣ,233,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
" juw ꞩalt sı̮ɣ,",234,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
" ēla ɔ̄lmı̮ɣ tası̮ɣ,",235,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 ēla χȱ̭lmı̮ɣtası̮ɣ,236,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 an šɔ̄wr ł a-ē,237,,,,,,,,,,,,,,,,,,,,,,,
 mań mȯꞩ nē ńawreme nas at'i ńarum χalt janı̮ɣmam,238,0,A,AxV,NoPtcl,pst,evid,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,
" kȯl kann tārmats̥,",239,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ēla χajtałtɒs,240,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ta ɔ̄leɣt,241,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
" ērı̮ɣ tȯtne χum, mȯjt tȯtne χum",242,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" jānı̮ɣmame kāte jānı̮ɣmɒs,",243,0,A,AV,NoPtcl,pst,ind,none,pfv,I,du,possnp,ref,sp,uniq,w_brdg,,,,,,,,
