,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
v<ō>rt<ō>lnut sove hot=a<χ>salaves,309,X,P,PV,,pst,ind,,pfv,,,,,,,,I,sg,possnp,ref,sp,uniq,w_brdg,
i <ā>pan hujuptaves.,310,X,P,V,,pst,ind,,pfv,,,,,,,,I,sg,possnp,ref,sp,uniq,w_brdg,
<ū>sьŋ <ō>tьr ojka <ō>s piɧane nupil potьrtь<i>.,311,X,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"n̩avremt <ō>s sunselan,",312,1,AP,PxV,,npst,imp,,pfv,2,pl,barenp,act,sp,uniq,sap,,,,,,,,
"<ē>riŋ <ō>s <ō>li.""",313,0,A,V,,npst,ind,,npfv,,,,,,,,,,,,,,,
Piɧane jiv vis<t̥>,314,1,A,APV,,pst,ind,,pfv,H,pl,possnp,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam,
jiv juv nariɧ tas{ə}t.,315,1,A,PV,,pst,ind,,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,
man̩ v<ō>rt<ō>lunt<ı̮>ɧ h<ō>jveseɧ.,316,X,P,PV,,pst,ind,,pfv,,,,,,,,A,du,barenp,fam,sp,uniq,strg,
<ō>s <ŏ>mɧьman kona lakasas<s>eɧa.,317,0,A,V,,pst,ind,,pfv,A,du,zero,top,sp,uniq,strg,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka piɧant ꞩam<a> ta pon̩salaveseɧa,318,1,P,AxV,ta,pst,ind,,pfv,H,pl,barenp,act,sp,uniq,strg,A,du,zero,top,sp,uniq,strg,
