,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
"pȯ̭r tēɣt, ",15,1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
ajeɣt,16,X,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" ꞩɔpilasət, ",17,X,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
"aku χɔ̄təl ɔ̄lsət,",18,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" kit χɔ̄tɒl' ɔ̄lsət, ",19,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
Mȯꞩ χum lāwi:,20,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,
 - am amki māŋ χum witəŋ χum,21,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Juw-minu̮ŋkwe ēri,22,0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 ūsm ɔ̄tər ɔ̄jka lāwi,23,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 - Minuŋkwe naŋən χuńt rɔu̯s,24,0,INF-A,AxV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" ꞩɔpitaχtası̮ɣ, ",25,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
minmı̮ɣtası̮ɣ juu̯ ,26,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
Juw joχtəsı̮ɣ mātēn,27,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" El-ɔ̄lmı̮ɣtası̮t, ",28,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
el-χulmı̮ɣtasət,29,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" Jau̯ jāli mini wȯrəŋ mā, witəŋ ma",30,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg,,,,,,,
 Jäɣāɣite tuwajti: lāwi,31,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,
" - Am mȯlal l'ul' wārsum, ",32,1,A,AxPV,NoPtcl,pst,ind,none,pfv,1,sg,pron,top,sp,uniq,strg,U,abst,barenp,typid,nonsp,nuniq,nfam
ań manurəl ɔ̄leɣu̮m,33,0,A,V,NoPtcl,fut,ind,quest,pfv,1,sg,zero,top,sp,uniq,strg,,,,,,,
" Akw χɔ̄tɒlı̮ɣ jēmtəs, ",34,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
mańē nupəl lāwi - ,35,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
χȯttal' jālimēn,36,0,A,V,NoPtcl,fut,hort,none,Pfv,1,du,zero,act,sp,uniq,strg,,,,,,,
" - Mańe kāse at'im nūw kȯs ɔ̄ls minuŋkwe, ",37,,,,,,,,,,,,,,,,,,,,,,
"masχatsı̮ɣ, ",38,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
āstəsı̮ɣ i ,39,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
minmı̮ɣtası̮ɣ,40,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" χɔ̇sa minası̮ɣ, ",41,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,
"wat'i minası̮ɣ, ",42,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,
jān jȯχtəsı̮ɣ,43,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" ɔnipe lawi, - ",44,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
taχsimēn,45,0,A,V,NoPtcl,fut,hort,none,npfv,1,du,zero,act,sp,uniq,strg,,,,,,,
" Mańe lawi, ",46,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
"naŋ tāχu̮mten, ",47,0,A,AV,NoPtcl,fut,imp,none,Pfv,2,sg,pron,act,sp,uniq,strg,,,,,,,
ɔnipe lawi: - ,48,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
naŋ tāχu̮mten,49,0,A,AV,NoPtcl,fut,imp,none,Pfv,2,sg,pron,act,sp,uniq,strg,,,,,,,
 mańe tuχu̮mtas,50,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
" Jila jȯχtəs, ",51,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
raɣàtɒs,52,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Tau̯ juil taχu̮mtaste, ",53,1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
ań nē sis kȯt'il't tāra pēlwes,54,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,barenp,top,sp,uniq,strg
" tau̥ alaste, tuwl",55,1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" Ań am manər wāreɣu̮m, ",56,1,A,APV,NoPtcl,fut,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,U,abst,indefp,,,,
tumajti,57,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Anꞩw salaste xɔt, ",58,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,,,,
tau̯ ȱ̭lamane χɔt - aŋχw ɔs,59,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,,,,
" Mańe ȱ̭lamt nɔŋχ - wasane, ",60,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,,,,
mańe wiste,61,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg
" jān, jȯla tārataste",62,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 tuu̯ ō̭lumane pintsane tuw̯,63,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
 Kēlpane ȱ̭lumanen tuu̯ mańiɣtasane,64,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
 juu̯-minas,65,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Juw̯ - jɔ̇χtəs, ",66,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
mańe χasap sāiŋ pal tuw - ūntəs,67,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Nȯmsi pȯu̯kꞩi: - ,68,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
Am tuw jālum l'ɔ̄ŋχu̮m lap-wos wɔ̄tastawe,69,X,P,PV,NoPtcl,fut,opt,none,pfv,,,,,,,,I,sg,possnp,fam,sp,uniq,strg
" Tɔ̄ru̮m āꞩ wɔ̄t wārs, ",70,1,A,APV,NoPtcl,pst,ind,none,pfv,Hl,sg,barenp,uniq,sp,uniq,w_glob,If,abst,barenp,typid,nonsp,nuniq,nfam
tujt pāttəste,71,1,AP,PV,NoPtcl,pst,ind,none,pfv,Hl,sg,zero,top,sp,uniq,strg,If,mass,barenp,typid,nonsp,nuniq,nfam
 wası̮ɣ nēmatər at nāŋki,72,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,negp,undef,nonsp,nuniq,nfam,,,,,,,
 Lɔ̄ŋχ āt'in,73,,,,NoPtcl,,,neg,,,,,,,,,,,,,,,
 Jeɣ͕pı̮ɣe jȯχtəs juw,74,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,
 Jau̯ wil'te tujtı̮ɣlite,75,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,w_brdg
