Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" - pū̬rlən matər ke ɔ̄n’ꞩeɣən,",1,A,PV,NoPtcl,npst,irr,none,npfv,2,sg,zero,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
 naŋ pū̬rleln,1,AP,AV,NoPtcl,npst,imp,none,npfv,2,sg,pron,top,sp,uniq,sap,U,abst,zero,ref,nonsp,nuniq,nfam
 mēn tawen pū̬rlən matər at ɔn’ꞩimēn,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
 tuji χil sɔ̄t tawenəl χun’ pȱjkimēn. ,1,A,PV,NoPtcl,npst,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
 taku̯si uj sɔ̄t tawenəl χun’ pȱjkimen.,1,A,PV,NoPtcl,npst,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
" tuji χul sɔ̄t pȱjken,",1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
 taku̯si uj sɔ̄t pȱjkēn. ,1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
" - naŋ pū̬rlən matər ke ɔn’ꞩeɣən,",1,A,APV,NoPtcl,npst,irr,none,npfv,2,sg,pron,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
 naŋ pū̬rleln. ,1,AP,AV,NoPtcl,npst,imp,none,npfv,2,sg,pron,top,sp,uniq,sap,U,abst,zero,ref,nonsp,nuniq,nfam
 mēn tawen pū̬rlən matər at ɔn’ꞩimen,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
" tuji χul sɔ̄t tawenəl χun’ pȱjkimen,",1,A,PV,NoPtcl,npst,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
 takusi uj sɔ̄t tawenəl χun’ pȱjkimen. ,1,A,PV,NoPtcl,npst,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg
 tuji χul sɔ̄t pȱkēn,1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam
 taku̯si uj sɔ̄t pȱjkēn”,1,A,PV,NoPtcl,npst,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam
 - men tuji χul sɔ̄t tawenəl χun’ pȱjkimēn. ,1,A,APV,NoPtcl,npst,ind,quest,npfv,1,du,pron,act,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam
 taku̯si uj sɔ̄t tawenəl χun’ pȱjkimēn.,1,A,PV,NoPtcl,npst,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam
 „pupı̮ɣn ērtal l’ul’ lātəŋ ta lāwsı̮ɣ.”,1,A,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,weak
 kȯl wārsət,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
 Mirn akwaı̮ɣ χul tɔtawə. ,1,P,APV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,nonsp,nuniq,strg,I,mass,barenp,ref,nonsp,nuniq,weak
" - naŋ pū̬rlən matər ke ɔn’ꞩeɣən,",1,A,APV,NoPtcl,npst,irr,none,npfv,2,sg,pron,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
 naŋ pū̬leln!,1,AP,AV,NoPtcl,npst,imp,none,npfv,2,sg,pron,top,sp,uniq,sap,U,abst,zero,ref,nonsp,nuniq,nfam
