Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 wāt'i tɔru̮m wat'ijiɣ ūnlite,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,abst,barenp,ref,sp,uniq,nfam
 kātlampe mań mȯꞩ nē sȱpen tȯtəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
" man mȯꞩ nē kāt lampe ńȯlantite,",1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 an nētḗn tȯtawe,1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" ań miš nēte pı̮ɣ ɔńsi,",1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,fam,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak
 tuw mań moꞩ nē miš χumn wȯjwes,1,P,PAV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam
 mań mȯꞩ nē pı̮ɣ ȯńꞩəs,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak
 ɔ̄nipēn χara kann tȯtwes,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 tuwl ɔ̄nipēn χaństawes:,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 mań mȯꞩ nē pı̮ɣe ńarm χaln nɔχ ālməste,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg
" tarəŋ ke χɔ̄nti,",1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam
" tarəŋ jiwe kȯji,",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam
" tȯwəŋ jiw ke χɔ̄nti,",1,A,PV,NoPtcl,npst,irr,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam
 tȯwəŋ jiwe kȯji,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,typid,nonsp,nuniq,nfam
 χȯsa tɔ̄rm ꞩȯsaı̮ɣ jȯmı̮ɣti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam
 mat'i jȯmı̮ɣti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam
" ań tūre minas pɔl,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,act,sp,uniq,strg
 luwe ajti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,sg,possnp,ref,sp,uniq,weak
" luwe aitas,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
" - jāɣən tēm aŋkən tēm pı̮͕ɣ ti jānit jɔ̄r ti ɔńꞩeɣən,",1,A,PV,ti,npst,ind,none,npfv,2,sg,zero,act,sp,uniq,sap,I,abst,demnp,ref,sp,uniq,nfam
" ti jānit pɔχur ti ɔńꞩeɣən,",1,A,PV,ti,npst,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,I,abst,demnp,ref,sp,uniq,nfam
 tuul aŋke kita paste;,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
 ānke juwl'e nēm χɔu̮m at laws,0,A,APV,NoPtcl,pst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
" χumite ńale=jɔwle āmajɒste,",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
" mań mȯꞩ χum ńale ta taktite, mań pirwa nupəl",1,AP,APV,ta,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
" - mań mȯꞩ χum, ꞩalı̮ɣke, am naŋk ńɔwəł'nəł'əχ ńɔ̄wəł’nəl tēnut ajnut ānu̮nəl χɔt kinseɣən?",1,A,PV,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,I,mass,barenp,typid,nonsp,nuniq,nfam
" MMχ ēkate χar nɔ̄wəl', uj ńɔwəl pȱt paj ti",1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,weak
 mana sutɒl sutitilmēn,1,AP,PV,NoPtcl,npst,ind,quest,pfv,1,du,zero,act,sp,uniq,sap,H,sg,possnp,act,sp,uniq,strg
" - naŋ mana sutəl pəl miɣlən,",1,AP,AV,NoPtcl,npst,ind,none,pfv,2,sg,pron,act,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
 am ta sutəl sutitilum,1,AP,AV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
 wattal ku͕r jiw ūnttəs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" ań ur miš nē, wȯr miš nē kit χumil kȯn ti kāltəstēn",1,AP,PAV,ti,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg,H,sg,barenp,act,sp,uniq,strg
 ań wattal ku͕r jiwəl lap = ūnttɔstēn,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
" tuwl uł'al pēlamtusten,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 āŋke tȯu̯ləŋ uj χuril putjip tal'aχn ta tȯtəste,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
 Luv kers,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,barenp,ref,sp,uniq,nfam
 - am jaɧpьɧaɧum kinꞩijaɧum,1,AP,APV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,H,du,possnp,act,sp,uniq,strg
" - kinsken, hotьl vьɧaɧьn",1,AP,V,NoPtcl,npst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
 - am hot kinsijaɧum,1,AP,AV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
" - aman̩ pes sat mis kol, sat luv kol pattat sat toulup luv onꞩsum",1,A,APV,NoPtcl,pst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,A,sg,barenp,ref,sp,uniq,nfam
" an̩ naŋ sat toulup luv puvuŋkve ke vermilьn,",1,AP,APV,NoPtcl,npst,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,A,sg,barenp,act,sp,uniq,strg
 ta puvilьn,1,AP,V,ta,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,A,sg,zero,top,sp,uniq,strg
 Tan kermant vis,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
 ta ꞩermat kvalьɧ ta konsьɧtahtas,1,A,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,uniq,sp,uniq,nfam
 anum puvuŋkve ta vermьslьn,1,AP,PV,ta,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,1,sg,pron,act,sp,uniq,sap
 - pьɧkēt luvьn puvuŋkve vermьslьn?,1,AP,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,A,sg,possnp,act,sp,uniq,strg
 - Manrьɧ at vermulum,1,AP,V,NoPtcl,npst,ind,neg,pfv,1,sg,zero,act,sp,uniq,sap,A,sg,zero,act,sp,uniq,strg
 Hosa mā hosaьɧ ta minite!,1,AP,PV,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam
 Luve tuv neɧuŋkve pataste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 Satit nakьn luve tuv noŋh hasumtaste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 ekvaьɧ ojkaьɧ man pьɧriꞩ ꞩeraŋka sartmьtas,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
 Pelamtaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 akv ani viste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 akv sulja vina vis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" akv tarelka ani sorniŋ tep maɧьŋ tep visane,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,barenp,ref,sp,nuniq,nfam
" koni kol pakna totsane,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
 kona kvaltaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,zero,act,sp,nuniq,nfam
 luven tittaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,zero,top,sp,nuniq,nfam
 ajtaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,zero,top,sp,nuniq,nfam
" Hosa ma hosaьɧ ta minite,",1,AP,PV,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam
 vati ma vatiɧ ta minite,1,AP,PV,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,ref,sp,nuniq,nfam
 Luve tuv ta neьɧuŋkve pateste,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 Satit nakna luve tuv noŋh ta neьɧьste,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
 - Jorit totne mā kinseɧum,1,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,I,sg,barenp,ref,sp,uniq,nfam
 nete pattita lui hum pьɧna alves,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" Hotal̩ olne sorniŋ tepьl akven tittave,",1,P,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 akven hurmintьɧ san̩ka palьl majves,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" akvumna majvesum,",1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,1,sg,zero,act,sp,uniq,sap
 ti hurmintьɧ san̩ka pālum akv jot ti tenuvanmen,1,AP,PV,ti,npst,irr,none,pfv,1,du,zero,act,sp,uniq,sap,I,pl,possnp,act,sp,uniq,strg
" akvumna majvesum,",1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,1,sg,zero,act,sp,uniq,sap
 ti hurmintьɧ san̩ka palum akv jot ti tenuvanmen,1,AP,PV,ti,npst,irr,none,pfv,1,du,zero,act,sp,uniq,sap,I,pl,possnp,act,sp,uniq,strg
" - am ti tene ꞩol at on̩ꞩeɧum,",1,A,APV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,sap,I,abst,barenp,ref,nonsp,nuniq,nfam
 lui hum pьɧna álvēsum,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,1,sg,zero,top,sp,uniq,sap
 tan naŋьn kasalite,1,AP,APV,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,2,sg,pron,top,sp,uniq,sap
 naŋ toh ātimtal ꞩolentьl luvьn junьɧteln,1,AP,APV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,A,sg,possnp,top,sp,uniq,strg
" Tuvьl naŋ os kotьrteln, (junьɧteln)",1,AP,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,A,sg,zero,top,sp,uniq,strg
 naŋ luvьn poher tan luve urite,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
" naŋ luvьŋ ureln,",1,AP,APV,NoPtcl,npst,imp,none,npfv,2,sg,pron,act,sp,uniq,sap,A,sg,possnp,top,sp,uniq,strg
 ꞩar tan luve maɧьlna ureln,1,AP,V,NoPtcl,npst,imp,none,npfv,2,sg,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg
" Tan luve ta junьɧtaste,",1,AP,APV,ta,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
" Homꞩil junьɧtaste kis lakv joŋham lakvьŋ torum janitьl,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,zero,act,sp,uniq,sap
" Lui hum pьɧ luve neɧьste, hotit nakna",1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 ekvaьɧ ojkaьɧ man̩ pьɧriꞩ luve neɧьste satit nakna,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
 - Mol hotal jimant matьr ul vasьn?,1,A,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
 sopluve kos saɧrapasum,1,A,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,I,sg,possnp,uniq,sp,uniq,weak
" sirajum hot ojtaslum,",1,AP,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,I,sg,possnp,ref,sp,uniq,weak
 Vi̊ŋkve at vermilum,1,AP,PV,NoPtcl,npst,ind,neg,npfv,1,sg,zero,act,sp,uniq,sap,I,sg,zero,top,sp,uniq,strg
" ti olmajilum,",1,AP,V,ti,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
 silajin ti vьɧlum,1,AP,PV,ti,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,I,sg,possnp,act,sp,uniq,strg
 - vi̊ŋkve at vermilьn,1,AP,PV,NoPtcl,npst,ind,neg,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
" naŋ ta apsijiɧ patum humin, am lilim ke nelteɧьn,",1,A,PV,NoPtcl,npst,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,I,abst,possnp,uniq,sp,uniq,weak
 siraje mьɧlum,1,AP,PV,NoPtcl,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,sg,dpossnp,fam,sp,uniq,strg
 Am lilim ke nelteɧьn,1,A,PV,NoPtcl,npst,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,I,abst,possnp,act,sp,uniq,strg
 - Am naŋ lilin manurьl jaltaptilum,1,AP,APV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,sap,I,abst,possnp,act,sp,uniq,strg
 Am lilim neltanut amki on̩ꞩeɧum,1,A,APV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg
" Am lilim ke nelteɧьn,",1,A,PV,NoPtcl,npst,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,I,abst,possnp,top,sp,uniq,strg
 Lavi - Neltilum,1,AP,V,NoPtcl,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,abst,zero,act,sp,uniq,strg
 Ekva Pьɧriꞩ lilite neltite,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,abst,possnp,act,sp,uniq,strg
" - Am puŋkum pineln, ꞩar sohtьl",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,uniq,sp,uniq,weak
" Ekvaьɧ-ojkaьɧ pьɧriꞩna sunsave,",1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" Vujeln,",1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
" am ti sipluvum saɧrapim mate sarteln,",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,possnp,fam,sp,uniq,strg
 am Sōpum liliŋ vitьl ajteln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,possnp,uniq,sp,uniq,weak
 - Aman jorum totaslьn?,1,AP,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,I,abst,possnp,fam,sp,uniq,strg
 - Totaslum,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,abst,zero,act,sp,uniq,strg
 Molal Mutraŋ ekva aɧin hajtalaslum,1,AP,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,H,sg,barenp,fam,sp,uniq,strg
 Mutraŋ ekva mir ta kem sav on̩ꞩi,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,barenp,ref,nonsp,nuniq,strg
" Osьŋ l̩om uj, osьŋ palum kem mir on̩ꞩi",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,H,pl,barenp,ref,nonsp,nuniq,strg
" mana kem ali,",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,undef,nonsp,nuniq,nfam
" mana kem ali,",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,abst,barenp,undef,nonsp,nuniq,nfam
 pusьn aluŋkve at ta vermesanum,1,AP,PV,ta,pst,ind,neg,pfv,1,sg,zero,top,sp,uniq,sap,H,pl,npron,ref,sp,nuniq,strg
 Luv posne homsite viste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,dpossnp,ref,sp,uniq,weak
" Jujil kos n̩aunlitaste,",1,AP,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" Jujil kos n̩aulьɧtaste,",1,AP,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 hot ustьpaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 Akv ekva setap vari,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,I,mass,barenp,typid,nonsp,nuniq,nfam
 Nal larmapti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
 Mutraŋ ekva koꞩaj nev ti johtavev,X,P,AV,ti,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,1,pl,zero,act,sp,uniq,sap
 - Nalьn tьɧ maj- leln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,act,sp,nuniq,strg
" - Nalьn hata, tьɧ majeln",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,act,sp,uniq,strg
" Nale almajaste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,top,sp,uniq,strg
 akve vil̩t jatet apɧen ta puvtmaves,1,P,PAV,ta,pst,ind,none,pfv,H,sg,dpossnp,top,sp,uniq,strg,H,sg,possnp,act,sp,uniq,strg
" akv ojkariꞩ ker jūnьɧti,",1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,I,mass,barenp,typid,nonsp,nuniq,nfam
" - Voŋhpan tьɧ majleln,",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,ref,sp,nuniq,weak
" - Hota, lavi, akim ojka, tьɧ majleln",1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
 Aphen voŋhpe miste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,top,sp,uniq,strg
" Aphen almajaves,",1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" - Ekvaьɧ ojkaьɧ man̩ pьɧriꞩ, man totne ujn totvesьn?",1,P,AV,NoPtcl,pst,ind,quest,pfv,A,sg,barenp,typid,nonsp,nuniq,nfam,2,sg,zero,act,sp,uniq,sap
 Poꞩkьn penteɧьn,1,A,PV,NoPtcl,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,dpossnp,act,sp,uniq,strg
 Liliŋ vit poꞩka unlum mān usam vit poꞩka untten,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg
 Usum vit poꞩka unlum mān liliŋ vit poꞩka untteln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg
 Ta pentsaɧe,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,du,zero,act,sp,uniq,strg
 - Saim ekva ti alilьn,1,AP,PV,ti,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,H,sg,barenp,act,sp,uniq,strg
 Moꞩan tarmatьɧleln,1,AP,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,zero,top,sp,uniq,strg
 Ta tarmataste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 - Amki on̩sam aɧimna ti alvesum,1,P,AV,ti,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,1,sg,zero,act,sp,uniq,sap
 hoŋhsa hurɧe lévātas,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 i maɧьste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" Ꞩamralaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 man̩salaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 pal̩tan ꞩepen maɧьste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" luven jol parmaptave,",1,P,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 Maɧьste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" Ꞩamralaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 man̩salaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Sepen maɧьste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Am molal ēt kotil jisaŋ naj ꞩan̩umna jor humьɧ lavvesum,1,P,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,nfam,1,sg,pron,top,sp,uniq,sap
 Ti ma tarmьl olne n̩an̩ pukitna am humle varavum,1,P,APV,NoPtcl,npst,ind,quest,pfv,I,pl,barenp,typid,nonsp,nuniq,nfam,1,sg,pron,top,sp,uniq,sap
" Ꞩepnьl kon levataste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" kol maɧьste,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
" Ꞩamralaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 man̩salaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Ꞩeppa maɧьste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" Kon levataste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" maɧьste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" Ꞩamralaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" man̩salaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
